R0,E,I,R,q5,q10,q25,q50,q75,q90,q95,
0.107030759193003,38,42,582888,35,38,43.75,50,59,67,74.05,
0.121607084944844,402,339,233924,60,62.9,67,75,83,92,98,
0.844612922519445,235,463,616232,213.95,229,255,293.5,344,407.1,441.25,
0.879228984378278,11,482,747999,188,204,231,278,329,396.1,433.05,
0.245526075549424,347,426,974154,67,70,76,84,94,106,113.05,
0.238756769150496,384,163,70197,68,72,78,86,98,110.1,118,
0.541715597175062,276,480,939067,98,103,114,127,143,163,178.05,
0.309318805672228,20,23,28844,37,41,47,57,70,85,93,
0.436610867083073,487,12,132845,92,97,107,119,137,158,172,
0.893969430029392,431,12,111238,471.95,518.9,600,706,873.25,1049,1157.05,
0.884261881746352,498,289,404288,323,345.9,390.75,452.5,524,619,700.05,
0.124641709960997,243,497,100225,57,60,65,72,81,91,96,
0.649529580585659,76,23,589142,79,87,100,120,141,169,186,
0.843605982884765,496,49,793165,198,211,236,268,313,363,405.05,
0.863053310103714,183,20,5323,306,342,407.75,504,639.25,773.1,892.1,
0.123640925250947,115,500,723273,52,55,59.75,65,74.25,85,92,
0.773529547639191,298,7,366943,167,180,202.75,236,279,322.1,363,
0.444118901155889,486,453,12183,102,108,118,131,148,167,178,
0.371541375480592,313,10,837797,72.95,76,83,94,107,122,133,
0.60254829917103,198,494,587275,112,117.9,131,148,169,198.1,215,
0.618332762829959,41,5,997374,54,60,71.75,87,108,128,147,
0.529396191053093,218,354,6097,105,113,126,143,163,189,208,
