E,I,R,q5,q10,q25,q50,q75,q90,q95,
434,480,251753,2667,2809.7,3072,3442.5,3846.75,4358.4,4695.85,
495,453,728625,523.95,559.9,642.75,762.5,913,1065.3,1156.1,
14,117,465144,292.75,356.9,512.75,777,1185.5,1660.1,1978.45,
17,437,46594,2115.95,2191,2288,2430,2597.5,2795,2903,
266,203,564037,587,661.6,792.5,975.5,1179.75,1443.2,1650.1,
495,20,197488,2611.95,2739,2927,3160.5,3471,3817.1,3999.25,
134,472,356920,1638.85,1920,2408,3084.5,3862,4564.6,5111.8,
12,24,971972,83,97.9,138,191,271.25,372.3,449.1,
84,26,619699,271.9,314.9,419.75,565.5,742,985.2,1110.1,
402,498,881363,409.95,441,499,587,691.25,819.1,899.1,
367,445,14632,1840.95,1890.9,1988.75,2097.5,2239.25,2395,2479.4,
401,23,474827,823.95,921.9,1115.75,1394.5,1788.5,2225,2542.5,
7,1,188860,40.95,55,95,218,3965.5,4755.1,5141.05,
494,494,581837,731.8,806,912,1087.5,1302.5,1577,1727.1,
454,6,9445,1894.8,1935.9,2018.75,2131,2276.5,2449.2,2550.25,
493,11,675281,518.85,562.9,657,780.5,956.25,1168.1,1299,
440,29,946277,328,365,427,502,597,689,736.05,
60,289,926948,266,294,345,421,517.25,627.3,711.1,
59,463,782395,366,404,484,577,707,852,970.05,
2,195,326796,638.85,862.5,1707,3457,4899.5,6160.7,6856.6,
43,250,8250,2038,2085,2189,2315,2449.25,2605.4,2731.45,
91,497,596657,540,591.8,709,867,1086,1331.5,1505.05,
481,356,882553,413.95,445.9,506,593,693.25,815,879,
496,393,309161,2525.9,2682.7,3002.25,3414.5,3969,4664.2,5191.45,
46,15,898541,141.95,163.9,211,287,384,493,573.35,
2,466,421159,813.95,944.4,1226,1682,2218.25,2923.1,3414.6,
499,207,681333,548.95,597.9,690,817,988.25,1179,1338.05,
481,500,59417,1945.65,1995,2098,2245.5,2415.5,2599.2,2745.1,
29,495,235900,3034.85,3228.8,3509.75,3921.5,4369.75,4891.1,5200.25,
480,21,828118,395.95,434.8,496,588,708,835,926.15,
495,27,569128,660.9,726.9,863,1043.5,1303,1566.1,1763.05,
12,188,615380,298.9,345.9,438.75,573.5,779.75,1064.1,1216.25,
205,13,146430,2674,2764,2908.5,3131,3399,3621.2,3807.35,
177,495,915491,351,383.9,443.5,533.5,621.25,725,801.05,
246,150,391968,1131.65,1298.9,1676.25,2253,2878.25,3581.9,4030.25,
315,488,399985,1399.7,1532.5,1864.25,2302.5,2837.75,3404.7,3838.55,
276,492,192453,2587.9,2700.9,2898.75,3158.5,3484,3810,4106.2,
287,23,994392,297,317.9,370,435,521,628.1,674,
189,185,996315,273.95,295,354.75,423,508.25,619.1,707,
124,456,12619,1937.8,1986,2079,2211,2352,2529.8,2658.05,
294,317,323822,2416.95,2639.5,3115.75,3645,4268.25,4952.1,5469.45,
244,318,70355,2124.95,2178,2277,2426,2599,2842.2,2980.2,
6,137,133860,2770,2902.8,3092,3331,3610.5,3926.1,4173.25,
26,110,668586,236.9,270,350,458,614,775.1,906.25,
13,373,863684,282,315,368,450.5,561.25,683.2,779.4,
136,468,529192,672.6,753,894,1124.5,1383.25,1748.4,1942.25,
139,75,258326,3302.9,3554.9,3952.5,4535,5227.5,5946.2,6478.2,
65,22,98058,2573.9,2672,2823.75,3038.5,3259.5,3532.8,3724.15,
400,485,831217,442,470.9,525,613.5,742,879,985.2,
469,27,392381,1387.6,1595.9,1938.5,2382,3016.25,3703.7,4169.5,
150,477,292848,2971.3,3174.8,3507.75,3960.5,4599.75,5383.3,6004.25,
6,453,138137,2577.9,2659.9,2820,3013,3256.25,3533,3726.5,
470,479,513176,881.8,957.9,1126.5,1370.5,1653.25,1964.5,2184.7,
448,186,256730,2840.65,2980.9,3230,3586,4050,4572.3,4934.2,
495,7,336841,2186.75,2474.8,2884.25,3462,4141.5,4829.4,5191,
20,479,724965,368.95,411.8,492,606,738.25,930.2,1050.05,
459,121,138207,2355.9,2423.9,2571.25,2742,2977,3245.1,3440.55,
429,476,781557,476,514,586,688,808,943,1056.15,
499,49,778312,441.95,475.9,548,650.5,764.25,928,1029,
497,33,902043,370.9,401,463.75,538.5,646.25,778.1,865.05,
11,248,469923,464.9,570.8,763,1018.5,1433.25,1888.2,2197.05,
311,68,635007,494.95,534,638,780.5,963.5,1206.2,1385.2,
489,222,442351,1110,1259.9,1472,1818.5,2266,2806.1,3095.3,
153,10,416701,605.85,721,1030.5,1487.5,2154.75,2865,3331.1,
498,486,173485,2368.85,2466,2639,2841.5,3102,3373.7,3547,
13,51,285376,217,310.3,661.75,4129.5,5833.25,6939.7,7813.3,
480,439,379118,1726.5,1872,2199.75,2619.5,3166.25,3724.4,4192.2,
189,3,826794,295,329,391.75,478,593,745.4,853.35,
475,488,656027,610,656.9,764,894,1051,1227.3,1365.35,
54,38,700375,211.95,242,323,433.5,572.5,763,920.15,
1,461,488814,617.8,708.9,876,1161,1492.25,1921.2,2133.45,
36,246,801604,283.9,313,378,462,571,727.1,849.2,
49,21,562490,220.95,263.9,362.25,507.5,716.25,1036,1240.25,
341,13,99783,2268.75,2334,2463.5,2633.5,2841.25,3086,3269.1,
20,246,375149,719.7,901.7,1362,2204.5,3072.5,3972.9,4604.05,
271,15,539445,543.95,617.9,749,965,1249.25,1558.3,1810.2,
180,481,821522,394,424.8,493.75,579.5,701,824.2,905,
475,70,716717,489,531.9,615,727,876,1055.2,1195.05,
493,349,87949,2090.95,2143.9,2255,2398,2574,2784.1,2958.4,
236,3,325915,1809.15,2369.9,3203.75,3982,5031.25,5931.2,6565,
147,55,942429,245.95,269.9,320,391,479,583,656.05,
464,497,995292,377.9,401,445,522,609.25,710,780,
497,470,952320,387,413.9,470,547.5,634,747.1,814.25,
327,496,566989,686.95,759.8,875.75,1060,1320,1561.3,1740.5,
230,66,681643,406,452,537,649,821,999,1153.15,
364,495,337757,2225,2446.9,2808.75,3274.5,3837,4612.5,5121,
2,87,61623,2446.55,2532,2691,2876,3098,3357,3506.4,
356,490,113090,2204.8,2258.9,2372.75,2553.5,2780.25,2995.1,3164.65,
6,214,732048,250,284.9,360,484,624.75,780.2,907.5,
148,499,966794,321,346,400,473.5,561,656,771.05,
496,279,193694,2509.95,2614.8,2802,3028,3359.75,3728.3,3975.05,
354,226,490495,823.95,912.9,1100,1354,1742,2122.1,2411.25,
261,300,856231,370,399.9,468,558,660,786.1,895.05,
129,242,108641,2380,2462.9,2612.75,2785.5,2999.25,3258.1,3472.05,
499,261,804467,449.95,488.9,558.75,661,782,924.5,1007.05,
4,478,351876,1339.1,1651.9,2266.5,3122.5,4114.5,5082,5586.65,
22,19,420871,153,189,300.75,545.5,891.75,1466,1997.15,
298,128,8475,1934.85,1971,2067.75,2184,2326.5,2484.2,2599.25,
7,310,557987,403.85,463.9,596.75,788,1023.25,1293.1,1510.45,
13,34,222358,203.85,285.9,750.75,4335,5066,5776.6,6423.05,
39,485,215817,2923.55,3075.8,3320,3635.5,4076.5,4490.6,4899.15,
105,246,334920,1525.85,1956.9,2764.75,3619.5,4502,5439.1,5988.35,
316,219,96244,2238,2283,2393,2569.5,2777.25,2978.2,3135,
387,323,840963,422,444.9,518.75,611.5,725,835.3,929.05,
396,8,597716,584.8,630.9,753.5,911,1122.75,1375.4,1565.15,
346,55,238342,2980.85,3111.3,3404,3796,4252.25,4704.1,5133.9,
339,416,691913,508,564,651,785,950.25,1114.3,1284.15,
273,293,663991,490.95,543.9,650,779,943.5,1143.1,1264.05,
214,475,231959,2835.7,2959.9,3222,3577,3965.5,4508.2,4732.4,
321,418,958378,353.95,378.9,432,509,605.25,709.1,785.15,
282,33,498888,627.8,712,907,1162,1514.25,1886.7,2121.2,
134,218,261219,3277,3428.9,3780,4272.5,4934.25,5568.3,6163.85,
480,157,6319,1839,1877,1969.75,2092,2236,2413.4,2523.3,
483,145,288077,2802.7,2939.9,3262.75,3724.5,4376,5002.3,5421.5,
419,357,517434,799.95,897.9,1063.75,1299,1584,1940.1,2135.4,
281,185,52013,2066.95,2139.7,2231.75,2384.5,2561.25,2755.2,2868,
115,435,172272,2639.9,2727.8,2915.25,3164,3458.75,3782.1,4026,
386,247,756581,444,490,559.5,662,794,952.2,1082.1,
417,414,380920,1641.75,1838.8,2148,2623.5,3158,3757.1,4110.1,
498,75,258518,2813.85,2963.6,3192.75,3563,4019.5,4629.3,5025.25,
445,90,722033,475.9,512.9,608.75,708.5,850,1002.2,1148,
169,39,858231,279.95,308,367.75,451,553.25,675.1,748.3,
158,411,343333,1797.25,2176.7,2736.75,3373,4169,4916,5567.95,
359,405,743009,481.9,527,593.75,699.5,838.25,990.1,1106.1,
16,160,620424,271,312.8,406.75,546.5,738.25,937.3,1117.1,
