R0,E,I,R,q5,q10,q25,q50,q75,q90,q95,
0.105310278758407,251,125,50112,53,56,61,67,76,88,97,
0.863362110778689,34,259,99539,254,275.9,330,420,531,655,745.25,
0.761248171329498,21,367,7530,176.95,190.9,220,261,316.25,376.1,413.1,
0.798182170838118,116,417,490471,176,190.9,216,251,290.25,339.2,378.25,
0.661367215961218,497,496,800352,136,143,155,173.5,198,223.1,241,
0.102810390479863,8,154,170350,35,38,43,49,58,68,74,
0.454082712903619,463,278,172667,97,103,113,126,143,161,172,
0.894055130146444,1,170,456668,163.95,183,222,276,363,451.3,500.05,
0.331464798562229,373,248,254701,76,80,88,98,113,127,135.05,
0.622871599718928,499,265,331488,134,142,157,177,201,233.1,251.05,
0.317635388672352,433,477,789403,76.95,81,88,97,109,121,131.05,
0.39964855723083,497,47,242844,88,92,101,111,126,145,160,
0.342867007665336,3,500,696317,64,67,73.75,83,96,109,121.05,
0.872632465325296,253,498,202614,356,383,432,511,609.25,726.1,805.1,
0.578339522890747,188,174,518850,96,103,116,132,151,175,192,
0.490490918792784,441,211,387921,101,105,114,128,145,167,181.05,
0.88523071501404,454,13,398890,300.95,323,366,427,507.25,605,664.25,
0.304624154791236,154,493,455768,68,72,79,89,102,112,125,
0.590667649172246,87,496,217809,113,119,132.75,150,173,199,218,
0.709359878487885,345,474,982741,132.95,140.9,155.75,176,198,230.1,254.1,
0.726175655610859,212,95,735471,125,133,151,173,201,237,259.15,
0.14785115160048,475,328,575972,62,65,70,77,88,97,105,
0.397174285538495,52,13,996546,48,52,58,69,83,96,106.05,
0.894177047908306,11,292,991032,145,161,189,226,275,335,377,
0.698201036453247,9,154,893646,77.95,86,103,123,150,175.1,196,
0.196899295970798,24,314,423585,49,51,56.75,65,75,85.1,93,
0.892224405147135,457,179,746707,250.95,268,299,340,393,457.1,504.05,
0.452879237942398,490,353,924263,89,93,102,113,129,148,159,
0.373754055052996,416,494,508348,84.95,89,97,107,120,134,142,
0.560609883442521,11,468,842347,84.95,90,101,115,133,153,168.1,
0.159330239519477,3,497,213625,50,52.9,57,65,74,85,91,
0.89839649759233,80,433,885268,202,215,243,283,337,395.1,433.1,
0.519340397976339,73,111,322237,74,80,90,104,123,143,158.05,
0.261432646028698,277,39,999558,60.95,64,71,79,89,101,109,
0.46695205308497,11,494,197932,82,87,97,111,126,146.1,160,
0.460467574372888,3,290,481799,68,72,81,95,111,128,138.05,
0.694400596991181,152,488,118220,157,167,186.75,215,250.25,293.1,315.05,
0.664881160482764,10,238,328715,98,107,123,145,173,204,225,
0.880998582206666,59,7,730392,111.95,125,156,193,253,316,358,
0.638599945418537,90,30,9880,97.95,105,122,146,176,213,236.1,
0.766558360680938,479,126,803352,158,168,187,211.5,243,279,302.05,
0.569759400747716,295,437,722038,105.95,112,121,137,157,179,196.05,
0.217798396386206,376,19,149986,64,67,73,82,93,105,112,
0.102065871842206,375,80,842293,55,57,62,69,77,86,92,
0.201100485958159,359,474,681483,64,67,73,81,91,103,111.05,
0.168133948557079,406,10,15654,61,64,69,78,87,98,107,
0.762689484469593,486,328,636814,170,181,199,225,260,298.1,331.05,
0.239622137323022,104,480,998424,59,62,68,76,86,96.1,107,
0.768681614659727,484,468,91225,241,258,283,324,382.25,443,491.05,
0.364025963284075,258,46,490264,71,75,83,94,107,124,134,
0.303648471646011,89,183,23802,60,63,71,80,93,107,118,
0.333956309594214,6,28,368994,29,33,40,49,61.25,76,86,
0.515022558905184,172,35,986204,75,81,91,103,120,139.1,148,
0.461467047035694,263,3,235458,83.95,89,98,112,128,147,160,
0.228420207835734,456,490,450671,70,73,79,88,96,109,118,
0.870449923165143,342,489,901385,211.95,225.9,251,287,334,386,422,
0.170836077816784,1,11,648053,15,16,21,29,38,48,56,
0.642774185724556,344,498,46046,150,162,178,201,230,267,292.05,
0.406026418507099,336,307,843993,80,84,92,103,116,130,142,
0.866105461679399,458,422,693250,242,260,291,332,383,443,478.15,
0.332097696699202,488,384,452636,81,85,92,102,114,130,142,
0.611559391021729,231,267,791654,105,112,124,138,159,184,200,
0.664162514358759,55,73,989236,79,85,96,113,134.25,160,181,
0.627050515264273,41,476,32333,124,132,147,168,197,230,253,
0.715717521868646,19,369,956063,106,113,127,147,176,206,224,
0.105093457922339,279,485,592915,56,58,63,69,78,87,94.05,
0.144539813138545,314,106,479711,57,60,65,72,82,91,98,
0.29128857459873,219,472,22226,72,75,82,92,103,117,124,
0.518092812970281,420,99,512097,100,104,115,131,149,168,181,
0.241620700806379,497,45,625837,69,72,78,86,98,111,120,
0.317622125521302,10,212,779985,50,54,60,70,82,95,106,
0.763676941767335,1,389,792110,121,132,148,173,206,247.1,271.2,
0.895033655688167,339,460,143552,494,532.9,616.75,716,852.25,1017.1,1131.1,
0.417164434306324,178,494,273671,84,89,98,109,125,141,152,
0.118493676744401,90,17,862865,42,45,50,57,65,73.1,80,
0.661733794771135,465,213,995613,120,128,142,161,182,202,222,
0.526730142720044,334,197,32584,109,113,125,142,163.25,189,205.05,
0.307753393240273,253,4,632636,63,67,74,84,97,112,121.05,
0.106332670338452,115,411,228124,50,53,58,64,73,83,92,
0.835594578459859,371,99,70935,302.95,323.9,375,447,522,608.1,669.3,
0.385046820156276,390,175,982536,77,82,89,98,111,127,137,
0.47066264860332,50,9,572971,52,56,65,78,96,115.1,129,
0.749385248497129,145,15,930867,107,116,133,157,184,213,237.05,
0.612771107256412,43,408,657899,96,103,118,134,158,182.1,197,
0.803103155083954,497,469,908522,181,194,214,239,273,315.1,347.05,
0.100764092803001,494,11,574071,57,59.9,65,72,80,91,98,
0.315856864489615,106,3,798574,52.95,56,63,72,84,97,106,
0.15925453081727,245,442,413965,59,62,67,74,84,94,102,
0.139611488953233,357,6,914885,56,59,64,71,81,90,99,
0.484219715930521,355,14,998618,83,88,97,109,125,141,153,
0.100326308421791,14,63,604255,31,34,38,44,52,61.1,69.05,
0.707189539633691,496,38,322774,160,169,188.75,213,245,289,318.05,
0.814292198233306,186,129,312443,192,211.9,240.75,281,332,394,437.1,
0.499100931733847,480,222,993587,93,99,108,120,136,157.1,172,
0.655729213543236,195,238,8989,139,147,164,190,221,258,285,
0.610222347825766,376,464,263470,133.95,141,155,173,195,225,244.05,
0.591721462085843,31,1,984275,49.95,54,63,77,95,118,132,
0.209153776243329,91,30,179342,47,50,56,65,75,87,94,
0.777732534706593,18,491,162914,183.95,197,224,263,312.25,364.1,407,
0.27277537304908,337,396,773385,70,73,79,88,98,110,119,
0.883482106216252,267,303,490886,272,289,328,379.5,455.25,529.1,577,
0.312398244254291,95,481,114313,69,72,79,89,101,112,122,
0.210792900249362,32,495,18227,56,59,65,73,83.25,95,104,
0.519016530178487,125,497,80984,99,106,119,132,152.25,178,192.15,
0.471917584165931,396,79,16151,99,104,114,129,146,165.1,186.05,
0.454872334375978,402,499,119220,101,106.9,116,129,147,167,182,
0.896007535420358,428,64,905587,214,228.9,260,299,353.25,412,451.2,
0.847550221718848,11,45,806588,71.95,83,108,137,178,226.1,261.1,
0.831217529624701,496,16,884003,181,193.9,216,250,288,334,364,
0.566521612554789,323,476,963174,103,108,119,134,152,175,187,
